State,Fatalities Rate per 100 Million Vehicle Miles Traveled,"Failure to Obey (Traffic Safety Device, Seat Belt, & Invalid Driver License)",Careless Driving,Drunk Driving,Speeding,Total Score,2017 Ranking
Maryland,10,1,29,41,17,98,11
Michigan,19,2,36,16,23,96,10
New Jersey,5,3,39,8,15,70,4
Iowa,18,3,8,10,5,44,1
Oregon,31,5,34,45,20,135,29
Vermont,6,6,22,4,40,78,6
Massachusetts,1,7,12,41,19,80,7
District of Columbia,3,8,38,35,30,114,18
New Hampshire,8,8,4,40,51,111,17
Alaska,36,8,25,24,35,128,25
Minnesota,4,11,6,36,11,68,2
Hawaii,11,12,33,45,47,148,34
Virginia,11,13,11,32,2,69,3
Washington,15,13,20,28,25,101,13
New York,9,15,30,29,31,114,18
Pennsylvania,26,15,16,15,50,122,23
West Virginia,39,17,10,9,18,93,9
Illinois,15,18,19,39,42,133,27
Ohio,19,18,13,12,8,70,4
Georgia,27,18,40,5,9,99,12
Nebraska,29,21,13,34,4,101,13
Maine,23,22,21,49,43,158,40
Wyoming,45,22,5,30,33,135,29
Connecticut,7,24,18,44,24,117,21
New Mexico,24,25,49,24,48,170,45
South Carolina,51,25,47,23,41,187,46
Florida,43,27,50,12,1,133,27
Utah,14,28,28,1,12,83,8
South Dakota,44,28,2,12,16,102,15
North Carolina,30,30,37,24,45,166,43
Arkansas,47,30,24,22,6,129,26
Kansas,25,32,7,2,39,105,16
North Dakota,38,33,9,50,34,164,42
Texas,41,34,41,47,32,195,48
California,15,35,43,27,29,149,35
Tennessee,32,36,30,16,10,124,24
Missouri,27,37,32,7,38,141,33
Alabama,34,38,42,19,26,159,41
Idaho,37,39,1,31,13,121,22
Indiana,21,40,25,3,27,116,20
Delaware,35,40,51,19,22,167,44
Mississippi,49,42,44,18,3,156,39
Oklahoma,39,43,35,11,21,149,35
Wisconsin,11,44,15,38,28,136,31
Arizona,42,45,46,36,37,206,50
Colorado,22,46,17,21,44,150,37
Nevada,32,46,45,33,36,192,47
Rhode Island,2,48,3,51,49,153,38
Kentucky,48,48,27,6,7,136,31
Louisiana,45,50,48,41,14,198,49
Montana,50,51,23,48,46,218,51
