State,Fatalities_Rate_Per_100_Million,Failure_To_Obey,Careless_Driving,Drunk_Driving,Speeding,Total_Score,Ranking_2017,Population,Vehicle_Miles_Traveled,Fatal_Crashes,Deaths,Deaths_Per_Hunderd_Thousand,Deaths_Per_Hundred_Million_Miles_Traveled
Alabama,34,38,42,19,26,159,41,4863300,69553,937,1038,21.3,1.49
Alaska,36,8,25,24,35,128,25,741894,5030,78,84,11.3,1.67
Arizona,42,45,46,36,37,206,50,6931071,66859,865,962,13.9,1.44
Arkansas,47,30,24,22,6,129,26,2988248,36093,488,545,18.2,1.51
California,15,35,43,27,29,149,35,39250017,366402,3357,3623,9.2,0.99
Colorado,22,46,17,21,44,150,37,5540545,52993,558,608,11,1.15
Connecticut,7,24,18,44,24,117,21,3576452,31987,281,293,8.2,0.92
Delaware,35,40,51,19,22,167,44,952065,10146,116,119,12.5,1.17
District of Columbia,3,8,38,35,30,114,18,681170,3553,26,27,4,0.76
Florida,43,27,50,12,1,133,27,20612439,220083,2933,3174,15.4,1.44
Georgia,27,18,40,5,9,99,12,10310371,120569,1422,1554,15.1,1.29
Hawaii,11,12,33,45,47,148,34,1428557,11610,109,120,8.4,1.03
Idaho,37,39,1,31,13,121,22,1683140,17677,232,253,15,1.43
Illinois,15,18,19,39,42,133,27,12801539,109208,1003,1082,8.5,0.99
Indiana,21,40,25,3,27,116,20,6633053,83322,768,821,12.4,0.99
Iowa,18,3,8,10,5,44,1,3134693,32325,356,404,12.9,1.25
Kansas,25,32,7,2,39,105,16,2907289,32122,381,429,14.8,1.34
Kentucky,48,48,27,6,7,136,31,4436974,49491,763,834,18.8,1.69
Louisiana,45,50,48,41,14,198,49,4681666,49468,704,757,16.2,1.53
Maine,23,22,21,49,43,158,40,1331479,14979,151,161,12.1,1.07
Maryland,10,1,29,41,17,98,11,6016447,58484,472,505,8.4,0.86
Massachusetts,1,7,12,41,19,80,7,6811779,59004,359,389,5.7,0.66
Michigan,19,2,36,16,23,96,10,9928300,104814,980,1064,10.7,1.02
Minnesota,4,11,6,36,11,68,2,5519952,59620,357,392,7.1,0.66
Mississippi,49,42,44,18,3,156,39,2988726,42285,628,690,23.1,1.63
Missouri,27,37,32,7,38,141,33,6093000,75713,868,945,15.5,1.25
Montana,50,51,23,48,46,218,51,1042520,13181,171,190,18.2,1.44
Nebraska,29,21,13,34,4,101,13,1907116,20818,194,218,11.4,1.05
Nevada,32,46,45,33,36,192,47,2940058,27009,303,328,11.2,1.21
New Hampshire,8,8,4,40,51,111,17,1334795,13510,130,136,10.2,1.01
New Jersey,5,3,39,8,15,70,4,8944469,76941,569,601,6.7,0.78
New Mexico,24,25,49,24,48,170,45,2081015,26348,358,402,19.3,1.53
New York,9,15,30,29,31,114,18,19745289,136626,965,1025,5.2,0.75
North Carolina,30,30,37,24,45,166,43,10146788,115395,1348,1450,14.3,1.26
North Dakota,38,33,9,50,34,164,42,757952,10176,102,113,14.9,1.11
Ohio,19,18,13,12,8,70,4,11614373,119046,1053,1132,9.7,0.95
Oklahoma,39,43,35,11,21,149,35,3923561,48837,624,683,17.4,1.4
Oregon,31,5,34,45,20,135,29,4093465,37492,446,495,12.1,1.32
Pennsylvania,26,15,16,15,50,122,23,12784227,102775,1088,1188,9.3,1.16
Rhode Island,2,48,3,51,49,153,38,1056426,7766,48,51,4.8,0.66
South Carolina,51,25,47,23,41,187,46,4961119,54025,936,1015,20.5,1.88
South Dakota,44,28,2,12,16,102,15,865454,9636,103,116,13.4,1.2
Tennessee,32,36,30,16,10,124,24,6651194,77657,966,1041,15.7,1.34
Texas,41,34,41,47,32,195,48,27862596,263414,3407,3776,13.6,1.43
Utah,14,28,28,1,12,83,8,3051217,30038,259,281,9.2,0.94
Vermont,6,6,22,4,40,78,6,624594,7325,57,62,9.9,0.85
Virginia,11,13,11,32,2,69,3,8411808,84602,722,760,9,0.9
Washington,15,13,20,28,25,101,13,7288000,61880,504,537,7.4,0.87
West Virginia,39,17,10,9,18,93,9,1831102,19620,250,269,14.7,1.37
Wisconsin,11,44,15,38,28,136,31,5778708,63575,544,607,10.5,0.95
Wyoming,45,22,5,30,33,135,29,585501,9595,100,112,19.1,1.17
