,case_id,date,state,latitude,longitude,drunk_drivers,fatalities,State
0,10001,2016-01-01,1,33.42645833,-86.81973056,1,1,Alabama
9644,130006,2016-01-01,13,34.06231944,-83.92688333,1,1,Georgia
2748,60381,2016-01-01,6,38.21173333,-122.14480556,0,1,California
19995,340006,2016-01-01,34,40.42111111,-74.52884167,0,1,New Jersey
9643,130005,2016-01-01,13,34.14611111,-83.94316111,1,2,Georgia
9642,130004,2016-01-01,13,31.86361111,-81.76988889,0,1,Georgia
9641,130003,2016-01-01,13,34.22103611,-83.90266667,0,1,Georgia
6294,90013,2016-01-01,9,41.54453056,-72.77178611,0,1,Connecticut
9640,130002,2016-01-01,13,32.3452,-82.25055,0,1,Georgia
9639,130001,2016-01-01,13,33.75701944,-84.46874722,0,1,Georgia
27527,460001,2016-01-01,46,44.04752778,-103.13120278,1,1,South Dakota
33545,540001,2016-01-01,54,38.10861111,-81.84943889,0,1,West Virginia
27637,470008,2016-01-01,47,36.27348889,-86.7183,0,1,Tennessee
9645,130007,2016-01-01,13,32.56133889,-84.82390556,0,1,Georgia
27649,470020,2016-01-01,47,36.09643889,-86.87741111,0,1,Tennessee
6747,120044,2016-01-01,12,30.32458056,-81.52306111,0,1,Florida
27650,470021,2016-01-01,47,35.11369444,-89.86962222,1,1,Tennessee
30189,481651,2016-01-01,48,32.8775,-96.5157,0,1,Texas
14764,220095,2016-01-01,22,29.95833889,-90.06136944,0,1,Louisiana
2470,60103,2016-01-01,6,33.12766944,-117.10244167,0,1,California
2439,60072,2016-01-01,6,32.61876111,-117.09161111,1,1,California
213,10214,2016-01-01,1,34.67664722,-85.78196111,1,1,Alabama
19569,320013,2016-01-01,32,39.55236389,-119.81210556,0,1,Nevada
28596,480001,2016-01-01,48,33.08231944,-96.80063611,1,1,Texas
28597,480002,2016-01-01,48,33.16255833,-95.16188889,0,2,Texas
28598,480003,2016-01-01,48,29.71379444,-95.50293889,1,1,Texas
28599,480004,2016-01-01,48,35.80552778,-102.35093611,1,1,Texas
25511,420057,2016-01-01,42,40.60085556,-79.40009722,0,1,Pennsylvania
28600,480005,2016-01-01,48,30.11707778,-94.00832222,0,1,Texas
2801,60434,2016-01-01,6,33.92371944,-118.33959167,1,1,California
9646,130008,2016-01-01,13,33.77816667,-84.6535,0,1,Georgia
11405,170004,2016-01-01,17,41.75372778,-87.96271944,0,2,Illinois
11408,170007,2016-01-01,17,42.17315,-88.78018889,0,1,Illinois
11404,170003,2016-01-01,17,38.52655278,-90.19859444,0,1,Illinois
11402,170001,2016-01-01,17,41.57384167,-89.03411111,0,1,Illinois
16000,250001,2016-01-01,25,42.20245278,-72.61481667,0,2,Massachusetts
15578,240051,2016-01-01,24,39.68968889,-76.481025,2,2,Maryland
19558,320002,2016-01-01,32,36.22679722,-116.05055,1,1,Nevada
6718,120013,2016-01-01,12,25.68849444,-80.17272778,0,1,Florida
26591,450001,2016-01-01,45,34.70479722,-81.64526667,0,2,South Carolina
6712,120007,2016-01-01,12,25.80746111,-80.28922778,0,1,Florida
6729,120026,2016-01-01,12,27.50055833,-81.75189722,0,1,Florida
22244,370366,2016-01-01,37,35.81148056,-78.87107222,0,1,North Carolina
11713,170335,2016-01-01,17,41.89218889,-87.72598056,1,1,Illinois
2927,60560,2016-01-01,6,33.73943889,-117.95469167,0,1,California
16359,260001,2016-01-01,26,42.28318611,-84.79609444,0,1,Michigan
15377,230001,2016-01-01,23,44.62881667,-70.15555833,1,1,Maine
11463,170068,2016-01-01,17,41.77255833,-87.62556667,1,1,Illinois
6680,110001,2016-01-01,11,38.88598889,-76.95580556,0,1,District of Columbia
16360,260002,2016-01-01,26,42.35660556,-83.13829722,1,2,Michigan
23332,390001,2016-01-01,39,41.55473333,-84.22952222,0,1,Ohio
6734,120031,2016-01-01,12,30.43519167,-85.390875,0,1,Florida
6735,120032,2016-01-01,12,30.04388889,-82.28638889,2,1,Florida
16361,260003,2016-01-01,26,42.77263333,-86.07741111,1,1,Michigan
23349,390020,2016-01-01,39,39.90298889,-83.18291111,1,1,Ohio
16504,260150,2016-01-01,26,42.30791389,-83.12467222,0,1,Michigan
2885,60518,2016-01-01,6,37.33245833,-121.84557222,0,1,California
11456,170060,2016-01-01,17,38.60780833,-90.17076111,1,1,Illinois
28601,480006,2016-01-01,48,30.68573889,-94.94940278,0,1,Texas
11406,170005,2016-01-01,17,40.07601111,-87.985075,1,1,Illinois
28689,480096,2016-01-01,48,30.34665,-98.05085278,0,2,Texas
28688,480095,2016-01-01,48,29.43317222,-98.50162222,0,1,Texas
20098,340110,2016-01-01,34,41.12258056,-74.35813056,1,1,New Jersey
18428,290111,2016-01-01,29,37.10944167,-92.58600278,0,1,Missouri
12422,180020,2016-01-01,18,39.71904167,-86.14924167,1,1,Indiana
17339,270001,2016-01-01,27,45.34212222,-93.39841667,1,1,Minnesota
7117,120446,2016-01-01,12,28.29805556,-82.70694444,0,1,Florida
24386,400002,2016-01-01,40,34.447,-99.6561,1,1,Oklahoma
33041,530001,2016-01-01,53,47.59639722,-122.65600833,0,1,Washington
24385,400001,2016-01-01,40,35.49305278,-97.36387778,0,1,Oklahoma
7203,120539,2016-01-01,12,27.337475,-82.49739444,0,1,Florida
32345,510027,2016-01-01,51,37.47121389,-77.51138889,0,1,Virginia
7224,120563,2016-01-01,12,29.24119167,-81.09991944,0,1,Florida
32003,490002,2016-01-01,49,37.73621667,-111.54462778,0,1,Utah
18348,290026,2016-01-01,29,38.88998333,-94.54750556,0,1,Missouri
28602,480007,2016-01-01,48,34.16070278,-99.29053889,0,1,Texas
32030,490030,2016-01-01,49,37.00459722,-110.17325833,1,2,Utah
20919,360003,2016-01-01,36,41.453775,-74.05734444,1,1,New York
7100,120428,2016-01-01,12,30.42361111,-87.26055556,0,1,Florida
21902,370021,2016-01-01,37,35.81631667,-80.234125,1,1,North Carolina
25015,410007,2016-01-01,41,45.34930556,-121.96725,1,2,Oregon
937,20001,2016-01-01,2,61.53305,-149.59968333,1,1,Alaska
7083,120410,2016-01-01,12,27.60130556,-80.40592778,0,1,Florida
2368,60001,2016-01-01,6,35.77979722,-120.20959722,0,1,California
2,10003,2016-01-01,1,33.64924444,-86.60725833,0,1,Alabama
7016,120340,2016-01-01,12,27.88096944,-82.66185556,1,1,Florida
